"Navn";"Takst liten bil";"Takst stor bil";"Vegnummer";"Lat";"Long:";"Autopass";"Autopass-beskrivelse";"Kommunenr"
"Svinesund (Sponvikvn.)";"20.0";"100.0";"Ev6";"59.10881";"11.25596";"Ja";"AutoPASS + manuell";"0101"
"Raukerud";"23.0";"46.0";"Ev6";"59.48564";"10.70718";"Ja";"AutoPASS + automatisk";"0104"
"HOVINMOEN";"19.0";"38.0";"Ev6";"60.18095";"11.17289";"Ja";"AutoPASS + automatisk";"0235"
"Andelva";"19.0";"38.0";"Ev6";"60.30650";"11.14134";"Ja";"AutoPASS + automatisk";"0237"
"Tømte";"15.0";"30.0";"Ev6";"60.37159";"11.20553";"Ja";"AutoPASS + automatisk";"0237"
"Ørbekk";"20.0";"False";"Ev6";"60.41893";"11.24077";"Ja";"AutoPASS + automatisk";"0237"
"E6 Europavegen";"31.0";"93.0";"Ev6";"59.87818";"10.81977";"Ja";"AutoPASS + automatisk";"0301"
"E6 Djupdalsveien v/ Alna";"31.0";"93.0";"Ev6";"59.92365";"10.83034";"Ja";"AutoPASS + automatisk";"0301"
"R190 Ulven";"31.0";"93.0";"Ev6";"59.92216";"10.82581";"Ja";"AutoPASS + automatisk";"0301"
"Rampe E6 Europaveg  mot Oslo";"31.0";"93.0";"Ev6";"59.87837";"10.82021";"Ja";"AutoPASS + automatisk";"0301"
"Espa";"21.0";"42.0";"Ev6";"60.55447";"11.25050";"Ja";"AutoPASS + automatisk";"0417"
"Kolomoen";"23.0";"46.0";"Ev6";"60.64937";"11.29279";"Ja";"AutoPASS + automatisk";"0417"
"Tingberg";"22.0";"44.0";"Ev6";"61.27214";"10.39998";"Ja";"AutoPASS + automatisk";"0521"
"Klett-E6";"10.0";"30.0";"Ev6";"63.32601";"10.33143";"Ja";"AutoPASS + automatisk";"1601"
"E6 Tonstad";"8.0";"24.0";"Ev6";"63.37183";"10.37943";"Ja";"AutoPASS + automatisk";"1601"
"Ranheim";"33.0";"66.0";"Ev6";"63.42260";"10.55476";"Ja";"AutoPASS + automatisk";"1601"
"Hommelvik";"17.0";"34.0";"Ev6";"63.41533";"10.82518";"Ja";"AutoPASS + automatisk";"1663"
"Kroppan bru-Sør";"5.0";"10.0";"Ev6";"63.39818";"10.39352";"Ja";"AutoPASS + automatisk";"1601"
"Kroppan bru-Nord";"5.0";"10.0";"Ev6";"63.39915";"10.39424";"Ja";"AutoPASS + automatisk";"1601"
"E6 Tonstad";"8.0";"24.0";"Ev6";"63.37088";"10.37687";"Ja";"AutoPASS + automatisk";"1601"
"E6 Tonstad";"8.0";"24.0";"Ev6";"63.37195";"10.38018";"Ja";"AutoPASS + automatisk";"1601"
"Brøsetvegen";"8.0";"24.0";"Ev6";"63.40895";"10.43971";"Ja";"AutoPASS + automatisk";"1601"
"Leistad rampe sør";"17.0";"34.0";"Ev6";"63.42232";"10.63174";"Ja";"AutoPASS + automatisk";"1663"
"Nybakk";"22.0";"44.0";"Ev16";"60.12256";"11.29976";"Ja";"AutoPASS + automatisk";"0235"
"Kopparvike";"34.0";"68.0";"Ev16";"60.78073";"9.61479";"Ja";"AutoPASS + automatisk";"0540"
"E16 BOLSTADTUNNELEN VEST";"43.0";"86.0";"Ev16";"60.63549";"5.94083";"Ja";"AutoPASS + automatisk";"1235"
"Ramstad";"False";"False";"Ev18";"59.57673";"11.33346";"Ja";"AutoPASS + automatisk";"0125"
"Brennemoen";"25.0";"50.0";"Ev18";"59.57636";"11.27564";"Ja";"AutoPASS + automatisk";"0125"
"E18 Dalen";"25.0";"50.0";"Ev18";"59.59382";"11.08617";"Ja";"AutoPASS + automatisk";"0123"
"E.18 Hovedløp";"15.5";"46.5";"Ev18";"59.90984";"10.62807";"Ja";"AutoPASS + automatisk";"0219"
"Rampe Lysaker til Ev 18";"15.5";"46.5";"Ev18";"59.91154";"10.63324";"Ja";"AutoPASS + automatisk";"0219"
"Rampe Fornebu til E 18";"15.5";"46.5";"Ev18";"59.90971";"10.62833";"Ja";"AutoPASS + automatisk";"0219"
"Pårampe E 18 Lysakerlokket";"15.5";"46.5";"Ev18";"59.91158";"10.63279";"Ja";"AutoPASS + automatisk";"0219"
"Pårampe Granfoss fra E 18";"15.5";"46.5";"Ev18";"59.90922";"10.62675";"Ja";"AutoPASS + automatisk";"0219"
"E18 Mosseveien";"31.0";"93.0";"Ev18";"59.88492";"10.76865";"Ja";"AutoPASS + automatisk";"0301"
"E18 Maritim";"31.0";"93.0";"Ev18";"59.92050";"10.67267";"Ja";"AutoPASS + automatisk";"0301"
"Pårampe E18 Maritim";"31.0";"93.0";"Ev18";"59.92039";"10.67733";"Ja";"AutoPASS + automatisk";"0301"
"Gulli";"5.0";"10.0";"Ev18";"59.30284";"10.35878";"Ja";"AutoPASS + automatisk";"0704"
"Ramsum";"11.0";"22.0";"Ev18";"59.26191";"10.29947";"Ja";"AutoPASS + automatisk";"0720"
"Fokserød";"6.0";"12.0";"Ev18";"59.19077";"10.20764";"Ja";"AutoPASS + automatisk";"0706"
"Natvall";"7.0";"14.0";"Ev18";"59.16614";"10.20184";"Ja";"AutoPASS + automatisk";"0706"
"Skinmo";"9.0";"18.0";"Ev18";"59.11974";"10.13212";"Ja";"AutoPASS + automatisk";"0709"
"Sky";"12.0";"24.0";"Ev18";"59.07049";"9.94013";"Ja";"AutoPASS + automatisk";"0709"
"Østerholtheia";"30.0";"60.0";"Ev18";"58.86763";"9.15063";"Ja";"AutoPASS + automatisk";"0911"
"Inntjore";"15.0";"30.0";"Ev18";"58.29688";"8.46181";"Ja";"AutoPASS + automatisk";"0904"
"Kviksdalen";"15.0";"30.0";"Ev18";"58.20017";"8.19204";"Ja";"AutoPASS + automatisk";"0926"
"Bjørndalsletta";"14.0";"28.0";"Ev18";"58.16207";"8.02329";"Ja";"AutoPASS + automatisk";"1001"
"Vesterveien";"14.0";"28.0";"Ev39";"58.14120";"7.97643";"Ja";"AutoPASS + automatisk";"1001"
"Handeland";"25.0";"50.0";"Ev39";"58.21786";"7.01866";"Ja";"AutoPASS + automatisk";"1032"
"Bråstein";"20.0";"50.0";"Ev39";"58.79599";"5.79377";"Ja";"AutoPASS + automatisk";"1102"
"Forus";"20.0";"50.0";"Ev39";"58.88898";"5.71662";"Ja";"AutoPASS + automatisk";"1102"
"E39 Randabergveien";"20.0";"50.0";"Ev39";"58.98348";"5.67202";"Ja";"AutoPASS + automatisk";"1103"
"LILAND";"14.0";"28.0";"Ev39";"59.49436";"5.43723";"Ja";"AutoPASS + automatisk";"1146"
"Fjøsangerveien";"25.0";"50.0";"Ev39";"60.35241";"5.33814";"Ja";"AutoPASS + automatisk";"1201"
"Nygårdsbroen";"25.0";"50.0";"Ev39";"60.37924";"5.33567";"Ja";"AutoPASS + automatisk";"1201"
"E39 Sandviken";"25.0";"50.0";"Ev39";"60.41801";"5.31297";"Ja";"AutoPASS + automatisk";"1201"
"Sandviken";"False";"False";"Ev39";"60.41788";"5.31288";"Ja";"AutoPASS + automatisk";"1201"
"Buvika";"20.0";"40.0";"Ev39";"63.31115";"10.19489";"Ja";"AutoPASS + automatisk";"1657"
"Strandheim";"20.0";"40.0";"Ev39";"63.32629";"9.89897";"Ja";"AutoPASS + automatisk";"1657"
"HODNAFJELL";"14.0";"28.0";"Ev134";"59.46161";"5.48178";"Ja";"AutoPASS + automatisk";"1146"
"TOSKATJØRN";"14.0";"28.0";"Ev134";"59.41025";"5.34339";"Ja";"AutoPASS + automatisk";"1106"
"NORHEIM";"14.0";"28.0";"Ev134";"59.37697";"5.30327";"Ja";"AutoPASS + automatisk";"1149"
"Åkrafjorden";"40.0";"80.0";"Ev134";"59.85035";"6.35025";"Ja";"Har autopass";"1211"
"RV4 Trondheimsveien";"31.0";"93.0";"Rv4";"59.94787";"10.85250";"Ja";"AutoPASS + automatisk";"0301"
"Brekkebygda";"70.0";"175.0";"Rv7";"60.28603";"9.74950";"Ja";"AutoPASS + automatisk";"0605"
"Grim";"14.0";"28.0";"Rv9";"58.14741";"7.98255";"Ja";"AutoPASS + automatisk";"1001"
"Hardangerbrua";"150.0";"600.0";"Rv13";"60.47291";"6.83715";"Ja";"AutoPASS + automatisk";"1231"
"Rv13 SVELGANE";"43.0";"86.0";"Rv13";"60.58787";"6.60547";"Ja";"AutoPASS + automatisk";"1235"
"Skoppum";"33.0";"66.0";"Rv19";"59.37738";"10.39388";"Ja";"AutoPASS + automatisk";"0701"
"Oslofjordtunnelen";"50.0";"125.0";"Rv23";"59.69258";"10.65715";"Ja";"AutoPASS + automatisk";"0215"
"Strømsnes";"27.0";"54.0";"Rv80";"67.29902";"15.19273";"Ja";"AutoPASS + automatisk";"1841"
"Vikan";"21.0";"42.0";"Rv80";"67.30319";"14.70377";"Ja";"AutoPASS + automatisk";"1804"
"Pårampe Granfoss fra Fornebu";"15.5";"46.5";"Rv150";"59.90923";"10.62775";"Ja";"AutoPASS + automatisk";"0219"
"Store ringvei v/ Gaustad";"31.0";"93.0";"Rv150";"59.94661";"10.72063";"Ja";"AutoPASS + automatisk";"0301"
"Rampe Store ringvei v/Gaustad";"31.0";"93.0";"Rv150";"59.94638";"10.72054";"Ja";"AutoPASS + automatisk";"0301"
"Østre Akervei";"31.0";"93.0";"Rv163";"59.94015";"10.85177";"Ja";"AutoPASS + automatisk";"0301"
"Solasplitten";"20.0";"50.0";"Rv509";"58.89684";"5.66379";"Ja";"AutoPASS + automatisk";"1124"
"Hafrsfjord";"20.0";"50.0";"Rv509";"58.96095";"5.61087";"Ja";"AutoPASS + automatisk";"1103"
"Gravdal";"25.0";"50.0";"Rv555";"60.38079";"5.26836";"Ja";"AutoPASS + automatisk";"1201"
"Gyldenpris";"25.0";"50.0";"Rv555";"60.38173";"5.31546";"Ja";"AutoPASS + automatisk";"1201"
"Gravdal";"25.0";"50.0";"Rv555";"60.38086";"5.26880";"Ja";"AutoPASS + automatisk";"1201"
"Bjørndal";"10.0";"20.0";"Rv706";"63.39424";"10.38451";"Ja";"AutoPASS + automatisk";"1601"
"E6/Rv706";"8.0";"24.0";"Rv706";"63.43126";"10.48050";"Ja";"AutoPASS + automatisk";"1601"
"Sluppen";"10.0";"20.0";"Rv706";"63.39646";"10.38823";"Ja";"AutoPASS + automatisk";"1601"
"Sødal";"14.0";"28.0";"Fv1";"58.17537";"7.97217";"Ja";"AutoPASS + automatisk";"1001"
"Fv7 KJEPSO";"43.0";"86.0";"Fv7";"60.44383";"6.48648";"Ja";"AutoPASS + automatisk";"1238"
"Rv7 STEINSDALEN";"43.0";"86.0";"Fv7";"60.36272";"6.07118";"Ja";"AutoPASS + automatisk";"1238"
"Østbyen";"18.0";"36.0";"Fv17";"64.46993";"11.52081";"Ja";"AutoPASS + automatisk";"1703"
"Godøystraumen";"21.0";"42.0";"Fv17";"67.24139";"14.71436";"Ja";"AutoPASS + automatisk";"1804"
